INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (1, 'Sosial', 'Rak nomor 1 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (20, 'Fiksi', 'Rak nomor 3 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (21, 'Pelajaran', 'Rak nomor 5 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (22, 'Bahasa', 'Rak nomor 1 barat');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (23, 'Sosial', 'Rak nomor 5 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (24, 'Bahasa', 'Rak nomor 5 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (25, 'Sosial', 'Rak nomor 3 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (26, 'Bahasa', 'Rak nomor 3 barat');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (27, 'Pelajaran', 'Rak nomor 4 barat');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (28, 'Agama', 'Rak nomor 4 barat');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (29, 'Pelajaran', 'Rak nomor 3 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (30, 'Bahasa', 'Rak nomor 2 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (31, 'Pelajaran', 'Rak nomor 4 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (32, 'Sejarah', 'Rak nomor 4 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (34, 'Pelajaran', 'Rak nomor 1 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (33, 'Teknologi', 'Rak nomor 2 barat');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (35, 'Teknologi', 'Rak nomor 1 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (36, 'Sosial', 'Rak nomor 1 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (37, 'Pelajaran', 'Rak nomor 5 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (38, 'Fiksi', 'Rak nomor 1 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (39, 'Sejarah', 'Rak nomor 2 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (40, 'Sejarah', 'Rak nomor 5 barat');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (42, 'Sosial', 'Rak nomor 4 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (41, 'Agama', 'Rak nomor 2 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (43, 'Bahasa', 'Rak nomor 3 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (44, 'Sejarah', 'Rak nomor 3 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (46, 'Pelajaran', 'Rak nomor 3 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (45, 'Agama', 'Rak nomor 5 barat');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (47, 'Sejarah', 'Rak nomor 3 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (48, 'Bahasa', 'Rak nomor 5 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (49, 'Agama', 'Rak nomor 1 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (50, 'Bahasa', 'Rak nomor 1 timur');
