INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766001, 13, 'Future Brand Orchestrator', 'Maryadi Marpaung', 'Bukunesia', 13, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766068, 17, 'Forward Paradigm Engineer', 'Amalia Lestari', 'Mizan', 2, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766069, 35, 'Future Interactions Representative', 'Rahayu Winarsih S.Psi', 'Quanta', 6, 2016);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766071, 34, 'Direct Mobility Executive', 'Elisa Amanta S.Pd', 'Grasindo', 11, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766070, 20, 'Future Implementation Associate', 'Latika Nurlaela', 'Twigora', 5, 2008);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766072, 17, 'Global Factors Officer', 'Hartaka Sitorus', 'Bintang Media', 12, 2018);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766073, 28, 'Principal Group Director', 'Adhiarja Aswandi', 'Mizan', 9, 2018);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766074, 20, 'Human Marketing Producer', 'Jumadi Abimanyu', 'Twigora', 12, 2016);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766075, 28, 'Chief Solutions Orchestrator', 'Rini Haryanti', 'Erlangga', 12, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766076, 12, 'Legacy Integration Orchestrator', 'Indah Hasanah', 'Haru', 13, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766077, 41, 'Central Solutions Developer', 'Cinta Nathania S.IP', 'Metagram', 6, 2013);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766078, 48, 'Investor Group Designer', 'Laras Hastuti S.Farm', 'Erlangga', 14, 2017);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766079, 49, 'International Directives Specialist', 'Tugiman Darmawan', 'Deepublish', 5, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766080, 49, 'Central Creative Producer', 'Anita Aqila', 'Kata Depan', 10, 2012);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766081, 36, 'Legacy Applications Executive', 'Cinthia Jelita', 'Falcon', 2, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766082, 20, 'Senior Accounts Engineer', 'Paramita Saputri', 'Deepublish', 14, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766083, 32, 'Central Assurance Developer', 'Zahra Agustina', 'Grasindo', 9, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766084, 12, 'Human Marketing Executive', 'Kemba Firmansyah S.T.', 'Metagram', 6, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766085, 4, 'Human Identity Orchestrator', 'Purwanto Ardianto', 'Bintang Media', 10, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766086, 39, 'Dynamic Program Agent', 'Darmanto Perdana', 'Grasindo', 2, 2014);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766087, 6, 'Human Directives Producer', 'Laras Lestari', 'Gramedia', 7, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766088, 40, 'Customer Paradigm Supervisor', 'Cici Rahimah', 'Falcon', 2, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766089, 17, 'Future Marketing Supervisor', 'Radika Himawan', 'Grasindo', 2, 2016);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766090, 36, 'Direct Communications Designer', 'Uda Sitorus', 'Gradien Mediatama', 7, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766091, 16, 'Principal Data Supervisor', 'Maya Oktaviani', 'Mizan', 15, 2014);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766092, 48, 'Corporate Applications Technician', 'Ade Pudjiastuti', 'Kata Depan', 3, 2012);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766093, 36, 'National Communications Planner', 'Nadia Wijayanti', 'Gradien Mediatama', 4, 2004);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766094, 11, 'National Functionality Specialist', 'Clara Melinda M.M.', 'Inari', 3, 2012);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766095, 17, 'Corporate Operations Officer', 'Tari Jelita', 'Grasindo', 10, 2012);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766096, 11, 'Internal Quality Liaison', 'Lintang Maharani', 'Deepublish', 3, 2014);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766097, 25, 'International Group Facilitator', 'Gamblang Sinaga', 'Gramedia', 2, 2004);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766098, 47, 'Dynamic Intranet Agent', 'Prayoga Handoko', 'Bintang Media', 5, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766099, 23, 'Global Usability Agent', 'Aisyah Wijayanti', 'Deepublish', 5, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766100, 10, 'Principal Intranet Architect', 'Abyasa Nugraha M.Pd', 'Bintang Media', 1, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766101, 2, 'Lead Research Coordinator', 'Karsana Budiman', 'Quanta', 2, 2004);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766102, 34, 'National Tactics Manager', 'Jumadi Najmudin', 'Metagram', 6, 2000);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766103, 36, 'Global Mobility Liaison', 'Latif Oktovian M.Kom.', 'Kata Depan', 5, 2010);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766104, 40, 'National Branding Manager', 'Irma Mulyani', 'Bukunesia', 9, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766105, 31, 'International Factors Technician', 'Warsita Ardana', 'Mizan', 2, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766106, 18, 'Dynamic Division Specialist', 'Sasha Padmasari', 'Falcon', 13, 2014);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766107, 25, 'Human Applications Orchestrator', 'Winda Hasanah', 'Quanta', 13, 2008);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766108, 6, 'Global Infrastructure Strategist', 'Chandra Mustofa M.M.', 'Haru', 8, 2012);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766109, 49, 'Product Web Executive', 'Safina Rahimah M.TI.', 'Gramedia', 1, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766110, 43, 'Customer Implementation Strategist', 'Fathonah Usada', 'Inari', 9, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766111, 17, 'Internal Operations Specialist', 'Ciaobella Sudiati', 'Inari', 8, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766112, 25, 'Investor Data Orchestrator', 'Ayu Anggraini', 'Twigora', 9, 2014);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766113, 26, 'Corporate Implementation Specialist', 'Qori Wastuti', 'Deepublish', 6, 2009);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766114, 41, 'Chief Implementation Strategist', 'Kania Zulaika', 'Bukunesia', 3, 2022);
