INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53001, 188, 4240, '2022-11-23', '2022-11-16', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53012, 256, 4235, '2022-11-17', '2022-11-06', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53014, 185, 4247, '2022-11-17', '2022-11-07', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53015, 33, 4244, '2022-11-21', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53016, 161, 4214, '2022-11-21', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53017, 120, 4235, '2022-11-24', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53018, 93, 4231, '2022-11-20', '2022-11-04', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53019, 43, 4223, '2022-11-27', '2022-11-08', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53021, 185, 4208, '2022-11-26', '2022-11-10', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53020, 264, 4247, '2022-11-17', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53022, 96, 4225, '2022-11-16', '2022-11-14', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53023, 242, 4240, '2022-11-16', '2022-11-12', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53024, 75, 4202, '2022-11-21', '2022-11-10', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53025, 278, 4233, '2022-11-25', '2022-11-17', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53026, 131, 4204, '2022-11-22', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53029, 55, 4223, '2022-11-25', '2022-11-11', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53027, 295, 4210, '2022-11-21', '2022-11-08', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53030, 147, 4246, '2022-11-27', '2022-11-16', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53028, 79, 4223, '2022-11-18', '2022-11-05', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53031, 191, 4231, '2022-11-22', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53032, 137, 4239, '2022-11-28', '2022-11-15', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53033, 63, 4229, '2022-11-26', '2022-11-08', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53034, 220, 4203, '2022-11-25', '2022-11-13', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53035, 138, 4236, '2022-11-16', '2022-11-12', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53036, 6, 4225, '2022-11-27', '2022-11-13', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53037, 76, 4223, '2022-11-28', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53038, 111, 4244, '2022-11-24', '2022-11-15', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53039, 84, 4236, '2022-11-21', '2022-11-06', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53040, 223, 4246, '2022-11-17', '2022-11-13', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53041, 179, 4219, '2022-11-16', '2022-11-06', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53042, 237, 4222, '2022-11-22', '2022-11-12', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53044, 243, 4249, '2022-11-28', '2022-11-17', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53043, 231, 4227, '2022-11-28', '2022-11-09', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53045, 99, 4202, '2022-11-18', '2022-11-05', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53046, 233, 4242, '2022-11-21', '2022-11-07', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53047, 246, 4241, '2022-11-30', '2022-11-14', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53048, 254, 4212, '2022-11-25', '2022-11-09', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53049, 65, 4205, '2022-11-27', '2022-11-16', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53050, 15, 4249, '2022-11-21', '2022-11-11', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53051, 187, 4233, '2022-11-17', '2022-11-14', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53052, 204, 4244, '2022-11-20', '2022-11-11', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53053, 266, 4215, '2022-11-29', '2022-11-15', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53054, 87, 4215, '2022-11-20', '2022-11-07', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53055, 67, 4205, '2022-11-27', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53056, 125, 4210, '2022-11-26', '2022-11-04', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53057, 145, 4248, '2022-11-18', '2022-11-16', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53058, 193, 4234, '2022-11-21', '2022-11-14', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53059, 261, 4221, '2022-11-21', '2022-11-08', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53060, 220, 4248, '2022-11-23', '2022-11-09', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53061, 280, 4239, '2022-11-26', '2022-11-04', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53062, 271, 4201, '2022-11-26', '2022-11-10', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53063, 274, 4218, '2022-11-19', '2022-11-11', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53064, 101, 4234, '2022-11-22', '2022-11-08', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53065, 246, 4232, '2022-11-23', '2022-11-10', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53066, 205, 4236, '2022-11-29', '2022-11-09', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53067, 60, 4232, '2022-11-17', '2022-11-04', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53068, 196, 4202, '2022-11-18', '2022-11-17', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53069, 23, 4233, '2022-11-17', '2022-11-13', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53070, 255, 4207, '2022-11-21', '2022-11-07', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53071, 69, 4203, '2022-11-21', '2022-11-04', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53072, 105, 4218, '2022-11-28', '2022-11-05', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53073, 299, 4215, '2022-11-30', '2022-11-17', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53074, 213, 4243, '2022-11-26', '2022-11-15', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53075, 62, 4215, '2022-11-26', '2022-11-04', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53076, 105, 4214, '2022-11-22', '2022-11-06', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53077, 134, 4221, '2022-11-24', '2022-11-10', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53078, 245, 4225, '2022-11-17', '2022-11-10', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53079, 260, 4205, '2022-11-26', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53080, 107, 4237, '2022-11-25', '2022-11-08', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53081, 191, 4214, '2022-11-16', '2022-11-16', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53082, 53, 4235, '2022-11-18', '2022-11-16', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53083, 46, 4220, '2022-11-30', '2022-11-10', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53084, 296, 4209, '2022-11-25', '2022-11-12', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53085, 143, 4211, '2022-11-26', '2022-11-09', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53086, 262, 4229, '2022-11-17', '2022-11-15', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53087, 139, 4215, '2022-11-25', '2022-11-11', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53088, 58, 4226, '2022-11-23', '2022-11-14', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53089, 69, 4218, '2022-11-21', '2022-11-05', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53090, 248, 4243, '2022-11-17', '2022-11-07', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53091, 35, 4245, '2022-11-24', '2022-11-14', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53092, 254, 4214, '2022-11-24', '2022-11-12', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53093, 252, 4241, '2022-11-29', '2022-11-07', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53094, 58, 4246, '2022-11-19', '2022-11-16', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53095, 200, 4225, '2022-11-26', '2022-11-16', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53096, 178, 4207, '2022-11-20', '2022-11-06', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53097, 268, 4244, '2022-11-18', '2022-11-11', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53098, 162, 4240, '2022-11-17', '2022-11-05', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53099, 258, 4220, '2022-11-16', '2022-11-08', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53100, 7, 4225, '2022-11-17', '2022-11-14', '');
